Organisation,KvK number,clean_name
Trésviri Cost Engineering Solutions B.V.,62508741.0,trsviri cost engineering solutions
TRG Global B.V.,60844493.0,trg global
Tribal Music Group B.V.,91041325.0,tribal music
Tribe28 contracting B.V.,76549100.0,tribe28 contracting
Tribocare B.V.,76477150.0,tribocare
Tribus Specials B.V.,30200217.0,tribus specials
TRICENTIS NL B.V.,53080556.0,tricentis nl
Tri-ennium Software B.V.,24392473.0,triennium software
Triferto B.V.,9126552.0,triferto
Trifork B.V.,34174108.0,trifork
Trig Avionics Europe B.V.,71586474.0,trig avionics
Triggerise B.V.,62327623.0,triggerise
Triglobal B.V.,59464534.0,triglobal
Triluxe B.V.,84532580.0,triluxe
Trimble Europe B.V.,17035763.0,trimble
Trinamics Nederland B.V.,72036494.0,trinamics
Trinomics B.V.,56028016.0,trinomics
Trinseo Netherlands B.V.,20162359.0,trinseo
Trio Investment B.V.,67084737.0,trio investment
Triodos Bank N.V.,30062415.0,triodos bank
Triodos Investment Management B.V.,30170072.0,triodos investment management
Tripaneer B.V.,61843962.0,tripaneer
Triple A - Risk Finance B.V.,34251771.0,triple a risk finance
Triple IT B.V.,37081955.0,triple it
Triple Jump B.V.,34248256.0,triple jump
Triply B.V.,70761892.0,triply
Triticum Exploitatie B.V.,14066301.0,triticum exploitatie
Triton Navigation B.V.,34217181.0,triton navigation
Trits B.V.,32136659.0,trits
Trius Polytechniek B.V.,27257553.0,trius polytechniek
TRIUS Projecten B.V.,83019960.0,trius projecten
Trivident B.V.,57485941.0,trivident
Trivium Packaging Netherlands B.V.,38006815.0,trivium packaging
TRM Oncology B.V.,27263407.0,trm oncology
Tronex B.V.,6061247.0,tronex
Tronox International B.V.,67086497.0,tronox international
Tronox Investments Netherlands B.V.,56102259.0,tronox investments
Tronox Pigments (Holland) B.V.,24179173.0,tronox pigments holland
TropIQ Health Sciences B.V.,54021871.0,tropiq health sciences
Troy Chemical Company B.V.,24231442.0,troy chemical company
TRS Staffing Solutions B.V.,34073103.0,trs staffing solutions
TRT Equestrian Netherlands B.V.,67637671.0,trt equestrian
True Legends IT Professionals,64750426.0,true legends it professionals
True North Partners,75261286.0,true north partners
True Partner Capital Netherlands B.V.,81893434.0,true partner capital
True Partner Technology Netherlands B.V.,81060440.0,true partner technology
TrueFullstaq B.V.,34131108.0,truefullstaq
TrueNoord Services B.V.,67286860.0,truenoord services
Trueson B.V.,65456912.0,trueson
TRUMPF Nederland B.V.,8090682.0,trumpf
Trunkrs B.V.,63279940.0,trunkrs
TruQu B.V.,54112036.0,truqu
Trust Computer Products,23078603.0,trust computer products
Trusted Quality NL B.V.,75843900.0,trusted quality nl
Trusted-ID B.V.,24364284.0,trustedid
Trustmoore Netherlands B.V.,34324886.0,trustmoore
truus B.V.,75077752.0,truus
TRUVIQ SYSTEMS B.V.,85160415.0,truviq systems
Truvity B.V.,64246728.0,truvity
TRW International Holdings B.V.,34319986.0,trw international holdings
Trymax Semiconductor Equipment B.V.,9199226.0,trymax semiconductor equipment
TSC Leeuwarden B.V.,60384816.0,tsc leeuwarden
TSC Life,31029240.0,tsc life
TSE Imaging B.V.,32143782.0,tse imaging
TSG Operations B.V.,27188295.0,tsg operations
TSH Development B.V.,80949762.0,tsh development
TSH Europe B.V.,62790811.0,tsh
TSH Management B.V.,55241247.0,tsh management
TSL B.V.,81768524.0,tsl
TSMC Europe B.V.,33251385.0,tsmc
Tss4U B.V.,17156182.0,tss4u
Tsubakimoto Europe B.V.,20070011.0,tsubakimoto
T-Systems Nederland B.V.,14042783.0,tsystems
TT Dynamics B.V.,96638486.0,tt dynamics
TTA International B.V.,23087485.0,tta international
ttopstart B.V.,34343219.0,ttopstart
TTY Internet Solutions B.V.,34216777.0,tty internet solutions
TTY Management B.V.,50792385.0,tty management
TUI Airlines Nederland B.V.,27098512.0,tui airlines
TUI Nederland N.V.,27148888.0,tui
Tulip Oil Holding B.V.,50297023.0,tulip oil
Tulip Tech Group B.V.,81782047.0,tulip tech
Tulsi Indian Restaurant,66938449.0,tulsi indian restaurant
Tulsie B.V.,24418824.0,tulsie
Tune Chemical Tankers B.V.,77763211.0,tune chemical tankers
Tune4solutions B.V.,71703985.0,tune4solutions
Tupy Materials & Components B.V.,76615502.0,tupy materials components
Turbo Blower Service B.V.,24217015.0,turbo blower service
Turbo Systems The Netherlands B.V.,83532064.0,turbo systems
Turff B.V.,77330870.0,turff
Turing Europe B.V.,97209651.0,turing
Turk Havayollari A.O. (Turkish Airlines),33131663.0,turk havayollari ao turkish airlines
Turner & Townsend Europe,34130522.0,turner townsend
Turner Engine Control Solutions B.V.,34223866.0,turner engine control solutions
Turquoise Global Holdings Europe B.V.,71984062.0,turquoise global holdings
Tuttnauer Europe B.V.,20071772.0,tuttnauer
TÜV Rheinland Sonovation B.V.,20099797.0,tv rheinland sonovation
TUX mobility B.V.,77781031.0,tux mobility
Tuyn's Optiek B.V.,28024449.0,tuyns optiek
Tvilight Projects B.V.,28052105.0,tvilight projects
TVR Studios B.V.,88405958.0,tvr studios
Twente Additive Manufacturing B.V.,73143189.0,twente additive manufacturing
Twilio Netherlands B.V.,73420514.0,twilio
Twin Peaks Hospitality B.V.,60333006.0,twin peaks hospitality
Twin Sport B.V.,30205502.0,twin sport
Twintec Nederland B.V.,11032674.0,twintec
Twin-Tech Engineering B.V.,69802874.0,twintech engineering
Twintos B.V.,66640504.0,twintos
Twitter Netherlands B.V.,56672179.0,twitter
Two Fish B.V.,34216924.0,two fish
TWTG R&D B.V.,60320192.0,twtg rd
TYC Europe B.V.,34185591.0,tyc
Tyco Building Services Products B.V.,6040292.0,tyco building services products
Tyco Fire and Security Nederland B.V.,24147529.0,tyco fire and security
TYM EUROPE B.V.,95317384.0,tym
Tyndale Theological Seminary,41202924.0,tyndale theological seminary
Typefi Systems B.V.,53615301.0,typefi systems
Typotheque B.V.,77393775.0,typotheque
Tyrian International B.V.,63613824.0,tyrian international
Tyromer Europe IP B.V.,80774733.0,tyromer ip
Tyson Foods Europe B.V.,34202469.0,tyson foods
Tyson Foods Holland B.V.,17146358.0,tyson foods holland
Tyson Foods Oosterwolde B.V.,1043629.0,tyson foods oosterwolde
Tzong Don B.V.,95863141.0,tzong don
"U.S. Wheat Associates, Inc.",59208929.0,us wheat associates inc
U+1F342 B.V.,84979151.0,u1f342
UAB-Online B.V.,70299226.0,uabonline
UArchitects B.V.,17227552.0,uarchitects
Ubbink Nederland,9036422.0,ubbink
Uber Freight Europe Holdings B.V.,77320409.0,uber freight holdings
Uber International B.V.,55808646.0,uber international
Uber Netherlands B.V.,56193386.0,uber
Uber Payments B.V.,71201157.0,uber payments
Uber Portier B.V.,65851307.0,uber portier
uberall B.V.,34289018.0,uberall
UBI GLS B.V.,73790680.0,ubi gls
UBQ Materials NL B.V.,82534241.0,ubq materials nl
UBS Europe SE,66848717.0,ubs se
UBsend B.V.,70588724.0,ubsend
UCB Pharma B.V.,20049189.0,ucb pharma
U-center B.V.,14100256.0,ucenter
UFF African Agri Investments B.V.,62166867.0,uff african agri investments
UiPath Netherlands B.V.,71561544.0,uipath
UiPath Process Mining B.V.,9145879.0,uipath process mining
"Uitvoeringsinstituut werknemersverzekeringen, Hoofdkantoor UWV",34360247.0,uitvoeringsinstituut werknemersverzekeringen hoofdkantoor uwv
Uitzendwerk B.V.,68093276.0,uitzendwerk
Ukomst B.V.,51236028.0,ukomst
UL International (Netherlands) B.V.,9103568.0,ul international
UL TS B.V.,28086600.0,ul ts
U-Logs B.V.,84039787.0,ulogs
Ulstein Design & Solutions B.V.,24316678.0,ulstein design solutions
Ultimaker B.V.,56793138.0,ultimaker
Ultimate Software B.V.,64031829.0,ultimate software
Umbra B.V.,34180896.0,umbra
UMCG Universitair Medisch Centrum Groningen,1169570.0,umcg universitair medisch centrum groningen
uMOB B.V.,82484724.0,umob
Unc Inc B.V.,64721868.0,unc inc
Unconstrained Robotics B.V.,64165914.0,unconstrained robotics
Undagrid B.V.,60455861.0,undagrid
Under Armour Europe B.V.,34237352.0,under armour
Undeveloped B.V.,61079049.0,undeveloped
Undutchables Recruitment Agency B.V.,33277208.0,undutchables recruitment agency
Unexus B.V.,74840266.0,unexus
UnfoldX B.V.,82008620.0,unfoldx
UNGA B.V.,34139221.0,unga
Uni Phoenix B.V.,74566288.0,uni phoenix
Unibail-Rodamco-Westfield N.V.,70898618.0,unibailrodamcowestfield
Unica Datacenters B.V.,6022065.0,unica datacenters
Unicharm Molnlycke Baby B.V.,2066738.0,unicharm molnlycke baby
Unicharm Mölnlycke Incontinence B.V.,2066743.0,unicharm mlnlycke incontinence
Unico Investments B.V.,59050357.0,unico investments
Unicon Creation B.V.,8050030.0,unicon creation
Unicorn Systems NL B.V.,60323108.0,unicorn systems nl
Unidoro B.V.,53014960.0,unidoro
Uniform-Agri B.V.,4029997.0,uniformagri
Unify Energy B.V.,82039453.0,unify energy
Unigas International,24116012.0,unigas international
Unilever Europe Business Center B.V.,29005626.0,unilever business center
Unilever Foods & Refreshments Global B.V.,24152935.0,unilever foods refreshments global
Unilever Innovation Centre Wageningen B.V.,24136290.0,unilever innovation centre wageningen
Unilever IP Holdings B.V.,81003897.0,unilever ip holdings
Unilever Nederland,24269393.0,unilever
Unilever Nederland Holdings B.V.,24053802.0,unilever holdings
Unimpack B.V.,53014715.0,unimpack
Unipat B.V.,27089246.0,unipat
Uniper Benelux N.V.,27028140.0,uniper benelux
UNIQLO EUROPE LTD Dutch Branch,70787077.0,uniqlo ltd dutch branch
Unique ID B.V.,75519038.0,unique id
Unique Nederland B.V.,39031551.0,unique
Unique System B.V.,24332536.0,unique system
Unique Technology Europe B.V.,18054486.0,unique technology
uniQure biopharma B.V.,34275365.0,uniqure biopharma
Unis Group Facilities B.V.,51728737.0,unis facilities
Unis Group R&D B.V.,1083462.0,unis rd
Unispace B.V.,67070809.0,unispace
Unisys Nederland N.V.,33000201.0,unisys
Unit U Professionals B.V.,76679381.0,unit u professionals
Unit040 Ontwerp B.V.,17196056.0,unit040 ontwerp
UNIT4 Business Software Netherlands B.V.,73574066.0,unit4 business software
Unit4 Group Holding B.V.,82220123.0,unit4
UNIT4 MKB Software B.V.,24309362.0,unit4 mkb software
"United Airlines, Inc.",34115686.0,united airlines inc
United Fruits Group B.V.,64373576.0,united fruits
United Group MC B.V.,65337786.0,united mc
United Imaging Healthcare Europe B.V.,94862419.0,united imaging healthcare
United International Management B.V.,34269697.0,united international management
United MICE Travel & Trading B.V.,64164004.0,united mice travel trading
United Microelectronics (Europe) B.V.,33211073.0,united microelectronics
United Parcel Service Nederland B.V.,34089270.0,united parcel service
United Petfood Nederland B.V.,17095607.0,united petfood
United Petfood Nederland Nieuwkoop B.V.,52486079.0,united petfood nieuwkoop
United World College Maastricht,14126392.0,united world college maastricht
Unitron InnoTech B.V.,8090157.0,unitron innotech
Unitura B.V.,81088035.0,unitura
Unity Monetary Services B.V.,34239397.0,unity monetary services
Univar Solutions,24134696.0,univar solutions
Univé Dichtbij Organisatie B.V.,32164165.0,univ dichtbij organisatie
Universal Africa Lines B.V.,24161749.0,universal africa lines
Universal Electronics B.V.,6067125.0,universal electronics
Universal International Music B.V.,31018439.0,universal international music
Universal Music Group B.V.,81106661.0,universal music
UNIVERSAL Steel Holland B.V.,23057271.0,universal steel holland
Universal Studios International B.V.,33127500.0,universal studios international
Universe Im- & Export B.V.,30259368.0,universe im export
Universitair Medisch Centrum Utrecht,30244197.0,universitair medisch centrum utrecht
Universiteit Leiden,27368929.0,universiteit leiden
Universiteit Maastricht,50169181.0,universiteit maastricht
Universiteit Nyenrode B.V.,30201266.0,universiteit nyenrode
Universiteit Twente,50130536.0,universiteit twente
Universiteit Utrecht,30275924.0,universiteit utrecht
Universiteit van Amsterdam,34370207.0,universiteit van amsterdam
Universiteit van Tilburg,41095855.0,universiteit van tilburg
University Industry Innovation Network B.V.,62128736.0,university industry innovation network
Uniview Europe B.V.,63820668.0,uniview
UNLOQ,55050727.0,unloq
Unovis Asset Management B.V.,75637545.0,unovis asset management
Unquoted Advisory B.V.,84331909.0,unquoted advisory
Unsworth & Associates B.V.,34117808.0,unsworth associates
Unusual People B.V.,70658188.0,unusual people
U-People B.V.,56696701.0,upeople
Upfront B.V.,76913465.0,upfront
Upinion Netherlands B.V.,51837609.0,upinion
Upjohn Export B.V.,74464493.0,upjohn export
UPM-Kymmene B.V.,33111674.0,upmkymmene
UPS SCS (Nederland) B.V.,34092797.0,ups scs
Upscale Talent B.V.,82470480.0,upscale talent
Uranium One Coöperatief U.A.,34256224.0,uranium one coperatief ua
Urban Gym Group B.V.,73124370.0,urban gym
Urban Jazz B.V.,20130596.0,urban jazz
Urban Mobility Systems B.V.,67299008.0,urban mobility systems
Urban Sports Club Netherlands B.V.,64538044.0,urban sports club
urban-gro Europe B.V.,84460458.0,urbangro
Urenco Nederland B.V.,6070616.0,urenco
URUS Europe B.V.,2040692.0,urus
URW Europa B.V.,32078120.0,urw europa
User Intelligence Netherlands B.V.,34342277.0,user intelligence
USG Engineering Professionals B.V.,31047854.0,usg engineering professionals
Ushio Europe B.V.,33181420.0,ushio
USoft B.V.,32045194.0,usoft
USP Marketing Consultancy B.V.,24243535.0,usp marketing consultancy
UST Global (Netherlands) B.V.,67145434.0,ust global
Ustaca Holding B.V.,91297192.0,ustaca
UT Quality B.V.,24424856.0,ut quality
Utilus B.V.,66388406.0,utilus
Utopia Exploitatie B.V.,73572624.0,utopia exploitatie
Utr8 Holding B.V.,52164527.0,utr8
Utrecht,30280353.0,utrecht
Utrechtse Zwemclub-Star-Combinatie (U.Z.S.C.),40479148.0,utrechtse zwemclubstarcombinatie uzsc
UV Smart Technologies B.V.,83929118.0,uv smart technologies
Uxus Europe B.V.,34291914.0,uxus
V.B.I. Ontwikkeling B.V.,9052376.0,vbi ontwikkeling
V.C.T. B.V.,27254470.0,vct
V.O.F. Fysiotherapie Konings-Pinxteren,20075621.0,vof fysiotherapie koningspinxteren
V.o.f. Van Gulik,68427980.0,vof van gulik
V.S.E. Vehicle Systems Engineering B.V.,33284572.0,vse vehicle systems engineering
V2Future B.V.,56613466.0,v2future
V518 B.V.,58135324.0,v518
V8 architects B.V.,65250281.0,v8 architects
Vaassen Flexible Packaging B.V.,8036742.0,vaassen flexible packaging
Vacanceselect Europe B.V.,37073464.0,vacanceselect
VACIS B.V.,66864321.0,vacis
Vaessen-Schoemaker B.V.,38010648.0,vaessenschoemaker
VAF Instruments B.V.,23029880.0,vaf instruments
Valcon B B.V.,55582125.0,valcon b
Valcon B.V.,32128003.0,valcon
Valcon SEE B.V.,69556008.0,valcon see
Vale Holdings B.V.,34387450.0,vale holdings
Valery Capital B.V.,34311430.0,valery capital
Valiantys B.V.,67943578.0,valiantys
Validaide B.V.,65943678.0,validaide
Validators B.V.,60570369.0,validators
Valk Solutions B.V.,30209227.0,valk solutions
Vallei Accountants Audit B.V.,32126939.0,vallei accountants audit
Vallon B.V.,75625687.0,vallon
Valmet B.V.,62681532.0,valmet
Valori | we are Cerios B.V.,30190531.0,valori we are cerios
Valspar b.v.,39033291.0,valspar
Valtech B.V.,24300177.0,valtech
Valtech B2B Commerce B.V.,30138602.0,valtech b2b commerce
Valto B.V.,57048789.0,valto
Value Maritime B.V.,69564353.0,value maritime
ValueBlue B.V.,51910551.0,valueblue
ValueMetrics B.V.,68082088.0,valuemetrics
Valx B.V.,17240011.0,valx
Valyuu B.V.,78352452.0,valyuu
VAM WaterTech,22048246.0,vam watertech
VAMED Nederland B.V.,32097935.0,vamed
Van Aaken Automatisering B.V.,16087818.0,van aaken automatisering
Van Aarsen Machinefabriek B.V.,13011306.0,van aarsen machinefabriek
Van Aetsveld,32065048.0,van aetsveld
Van Amerongen CA Technology B.V.,11004608.0,van amerongen ca technology
Van Amersfoort Racing B.V.,63685124.0,van amersfoort racing
Van Ameyde International B.V.,27097368.0,van ameyde international
Van Ameyde Marine B.V.,24113580.0,van ameyde marine
van Asten Doomen Architecten BNA,18077864.0,van asten doomen architecten bna
Van Banen B.V.,17265810.0,van banen
Van Beek Ingenieurs B.V.,9050918.0,van beek ingenieurs
Van Berge Henegouwen Installaties B.V.,28065487.0,van berge henegouwen installaties
Van Bergen Kolpa Architecten,24305522.0,van bergen kolpa architecten
Van Berkel en Bos U.N. Studio B.V.,33247112.0,van berkel en bos un studio
Van Berkel Logistics B.V.,17187159.0,van berkel logistics
Van Campen & Partners N.V.,54033500.0,van campen partners
van Dal Mannenmode B.V.,18081302.0,van dal mannenmode
Van Dalfsen Beheer B.V.,5038170.0,van dalfsen beheer
Van Dam Machine Europe B.V.,30084605.0,van dam machine
Van den Bos Flowerbulbs B.V.,27216989.0,van den bos flowerbulbs
Van den Bosch Company Services B.V.,33209507.0,van den bosch company services
Van den Brink Automation B.V.,9075471.0,van den brink automation
Van der Ende Pompen B.V.,27230471.0,van der ende pompen
Van der Hoeven Horticultural Projects B.V.,27217083.0,van der hoeven horticultural projects
Van der Lee Engineering B.V.,76068951.0,van der lee engineering
Van der Leun Installatiebouw P2 B.V.,24437396.0,van der leun installatiebouw p2
Van der Vorm Engineering Delft B.V.,27079927.0,van der vorm engineering delft
Van der Wal 2.0 B.V.,67810098.0,van der wal 20
Van Deudekom Plastics B.V.,33236877.0,van deudekom plastics
Van Dijk Heating B.V.,30071150.0,van dijk heating
Van Doorn Container Parts B.V.,24396401.0,van doorn container parts
Van Doorne N.V.,34199342.0,van doorne
Van Duuren Interport B.V.,34078740.0,van duuren interport
Van Duyvenvoorde Import B.V.,62149687.0,van duyvenvoorde import
Van Eck Trailers B.V.,74491768.0,van eck trailers
Van Eeghen Functional Ingredients B.V.,33267274.0,van eeghen functional ingredients
"Van Gogh Museum, Stichting",41213987.0,van gogh museum stichting
Van Gool Elburg Vastgoedspecialisten B.V.,33180131.0,van gool elburg vastgoedspecialisten
Van Halteren Metaal B.V.,31017694.0,van halteren metaal
Van Halteren Technologies Boxtel B.V.,16057251.0,van halteren technologies boxtel
Van Hattem Infratech Uitzendbureau B.V.,24310107.0,van hattem infratech uitzendbureau
Van Hessen Holding B.V.,68089880.0,van hessen
Van Hoogevest Architecten B.V.,31022231.0,van hoogevest architecten
Van Iperen International B.V.,50944967.0,van iperen international
Van Koert Chiropractic Care v.o.f.,58925309.0,van koert chiropractic care vof
Van Lanschot Kempen N.V.,16038212.0,van lanschot kempen
Van Leeuwen Buizen Groep B.V.,23038035.0,van leeuwen buizen groep
Van Lieshout Snacks B.V.,17144342.0,van lieshout snacks
Van Loon Retail & Foodservice B.V.,18065735.0,van loon retail foodservice
Van Nelle Tabak Nederland B.V.,33302272.0,van nelle tabak
Van Noort Gassler & Co Rotterdam B.V.,59216379.0,van noort gassler co rotterdam
Van Oers Snacks B.V.,16065478.0,van oers snacks
Van Ommeren Architecten B.V.,84385758.0,van ommeren architecten
Van Oord Personeels B.V.,11052639.0,van oord personeels
Van Oossanen Naval Architects B.V.,53911547.0,van oossanen naval architects
Van Oostveen Medical,30079112.0,van oostveen medical
Van Os Medical B.V.,20143376.0,van os medical
Van Putten Instruments B.V.,27171587.0,van putten instruments
Van Ree Accountants West B.V.,64599892.0,van ree accountants west
Van Rees Group B.V.,51461579.0,van rees
Van Remmen UV Techniek B.V.,38024969.0,van remmen uv techniek
Van Rossum Raadgevende Ingenieurs B.V.,34147396.0,van rossum raadgevende ingenieurs
Van Storm B.V.,70929238.0,van storm
Van Storm Projects B.V.,77331087.0,van storm projects
VAN VESSEM & LE PATICHOU B.V.,34174646.0,van vessem le patichou
Van Voltra Global B.V.,73836435.0,van voltra global
Van Vredenburghweg B.V.,30271417.0,van vredenburghweg
Van Wijnen Components B.V.,72236299.0,van wijnen components
Van Wijnen Engineering Dordrecht B.V.,23044201.0,van wijnen engineering dordrecht
Van Winkoop Spuiterij B.V.,8141454.0,van winkoop spuiterij
Van Zanten Breeding B.V.,28020223.0,van zanten breeding
VANAN B.V.,81561768.0,vanan
Vandapac B.V.,71512799.0,vandapac
Vandebron Energie B.V.,59394218.0,vandebron energie
Vandemoortele Brunssum B.V.,14025372.0,vandemoortele brunssum
Vanderlande Industries B.V.,16017956.0,vanderlande industries
VanderSat B.V.,63628120.0,vandersat
Vandervegt fijnmetaal B.V.,61516201.0,vandervegt fijnmetaal
Vandervelde Protection B.V.,27111057.0,vandervelde protection
VanEck Asset Management B.V.,34314095.0,vaneck asset management
Vaneigens B.V.,68483198.0,vaneigens
Vantage Netherlands B.V.,72685646.0,vantage
Vantive B.V.,90778049.0,vantive
vanWengerden,59561289.0,vanwengerden
Vargonen B.V.,34354650.0,vargonen
Varian Medical Systems Nederland B.V.,30100753.0,varian medical systems
Varitex B.V.,34110032.0,varitex
VarmX B.V.,65920112.0,varmx
Varo Energy Netherlands B.V.,18114129.0,varo energy
Varpro Marketing B.V.,24278018.0,varpro marketing
Varrlyn B.V.,34387344.0,varrlyn
Vartion B.V.,72248408.0,vartion
Varuna Marine Services B.V.,77988728.0,varuna marine services
Varuna Sentinels B.V.,78008867.0,varuna sentinels
Vasco Consult B.V.,69127697.0,vasco consult
VASS Nederland B.V.,73401218.0,vass
Vastint Development B.V.,94004609.0,vastint development
Vastint Holding B.V.,33216327.0,vastint
Vastint Hospitality B.V.,54360722.0,vastint hospitality
Vatbox B.V.,68523289.0,vatbox
Vattenfall N.V.,33292246.0,vattenfall
Vatworkx B.V.,68897634.0,vatworkx
Vaxxinova International B.V.,64789195.0,vaxxinova international
Vayapay B.V.,83774947.0,vayapay
VB Risk Advisory B.V.,70448337.0,vb risk advisory
VB-Airsuspension B.V.,9151791.0,vbairsuspension
VBR Services B.V.,9123253.0,vbr services
VBR Turbine Partners B.V.,9123250.0,vbr turbine partners
VC4 B.V.,37144436.0,vc4
VC4Africa B.V.,53103769.0,vc4africa
VCD Business Solutions B.V.,2034284.0,vcd business solutions
VCKG Holding B.V.,61876976.0,vckg
VCSW B.V.,52216721.0,vcsw
VCTS 3 B.V.,62816829.0,vcts 3
VCTS B.V.,55794157.0,vcts
VDL Bus & Coach B.V.,17064837.0,vdl bus coach
VDL Enabling Technologies Group Almelo B.V.,2041611.0,vdl enabling technologies almelo
VDL Enabling Technologies Group Eindhoven B.V.,17088583.0,vdl enabling technologies eindhoven
VDL Enabling Transport Solutions B.V.,63766337.0,vdl enabling transport solutions
VDL Energy Systems B.V.,72179821.0,vdl energy systems
VDL ETG Precision B.V.,12046172.0,vdl etg precision
VDL ETG Projects B.V.,71240918.0,vdl etg projects
VDL ETG Technology & Development B.V.,20026006.0,vdl etg technology development
VDL Industrial Modules B.V.,22034728.0,vdl industrial modules
VDL Konings B.V.,13018590.0,vdl konings
VDL Steelweld B.V.,20079367.0,vdl steelweld
VDL Weweler B.V.,8031176.0,vdl weweler
VDM Fysio,50763261.0,vdm fysio
VDR Fashion Group B.V.,61051829.0,vdr fashion
VE Staal B.V.,54609208.0,ve staal
VeBe Floorcoverings B.V.,5022291.0,vebe floorcoverings
Vecima Technology B.V.,71538887.0,vecima technology
Veco B.V.,8007802.0,veco
Vecon Consultancy B.V.,90420578.0,vecon consultancy
Vecon Projects B.V.,90987535.0,vecon projects
Vecos Europe B.V.,17084983.0,vecos
Vectioneer B.V.,60374578.0,vectioneer
VectorY B.V.,78702593.0,vectory
Veeam Software B.V.,67514162.0,veeam software
Veed Netherlands B.V.,94375011.0,veed
Veegeo B.V.,70305714.0,veegeo
Veerkracht Sloop B.V.,67639542.0,veerkracht sloop
Vegger B.V.,78071534.0,vegger
Vehant Technologies B.V.,77001931.0,vehant technologies
Vekamaf Services B.V.,24186955.0,vekamaf services
Vekoma Rides Engineering B.V.,12045769.0,vekoma rides engineering
Velmon Maintenance Piping & Construction B.V.,34218009.0,velmon maintenance piping construction
Velocity Capital B.V.,32071954.0,velocity capital
Velocity Electronics,59685131.0,velocity electronics
Velocity Fund Management B.V.,72751894.0,velocity fund management
Velocity Global B.V.,72814209.0,velocity global
Veluwe Mondzorg B.V.,8209891.0,veluwe mondzorg
VEMAG-Seydelmann.nl B.V.,17208424.0,vemagseydelmannnl
Vemedia Manufacturing B.V,33186807.0,vemedia manufacturing
Venco Nederland B.V.,51132710.0,venco
Veneficus B.V.,51913615.0,veneficus
Vente-Privee.com IT B.V.,66047331.0,ventepriveecom it
Venti Capital B.V.,62648586.0,venti capital
Ventilex B.V.,8043003.0,ventilex
Ventolines B.V.,32128663.0,ventolines
Ventura Systems C.V.,71056386.0,ventura systems cv
Venture Group B.V.,8167024.0,venture
Venture IQ B.V.,63459043.0,venture iq
VentureBuilders B.V.,54597862.0,venturebuilders
VenturesOne B.V.,27142237.0,venturesone
Venza Group B.V.,69125619.0,venza
Veolia Water Technologies Techno Center Netherlands B.V.,14624792.0,veolia water technologies techno center
VEON Amsterdam B.V.,34378904.0,veon amsterdam
VEON Central Procurement B.V.,68691467.0,veon central procurement
VEON Holdings B.V.,34345993.0,veon holdings
VEON Wholesale Services B.V.,54167000.0,veon wholesale services
Verasonics B.V.,74778633.0,verasonics
Verathon Medical Europe B.V.,30127415.0,verathon medical
Verbruggen Palletizing Solutions B.V.,57373884.0,verbruggen palletizing solutions
Verder International B.V.,30204158.0,verder international
Verder Liquids B.V.,30024315.0,verder liquids
Verenigde Pinkster- en Evangeliegemeenten,32146736.0,verenigde pinkster en evangeliegemeenten
Vereniging Christelijk Voortgezet Onderwijs Rotterdam en omstreken,40342087.0,vereniging christelijk voortgezet onderwijs rotterdam en omstreken
Vereniging Deltametropool,27187127.0,vereniging deltametropool
Vereniging Het 's-Gravenhaags Christelijk Gymnasium Sorghvliet,40408702.0,vereniging het sgravenhaags christelijk gymnasium sorghvliet
Vereniging van Nederlandse Gemeenten,40409418.0,vereniging van nederlandse gemeenten
"Vereniging voor Energie, Milieu en Water",30147022.0,vereniging voor energie milieu en water
Verheijen-Smeets Architecten B.V.,12035194.0,verheijensmeets architecten
Verhoeven Grondverzetmachines B.V.,17078717.0,verhoeven grondverzetmachines
Verifone Payments B.V.,34246766.0,verifone payments
Verimatrix Amsterdam B.V.,34392050.0,verimatrix amsterdam
Veris Holding B.V.,57116083.0,veris
Veritas Marine Inspections,76049493.0,veritas marine inspections
Veritas Petroleum Services B.V.,58848754.0,veritas petroleum services
Veriteer B.V.,75284677.0,veriteer
Verizon Nederland B.V.,34199467.0,verizon
Verkada Netherlands B.V.,82522863.0,verkada
Verkerk Groep B.V.,68740883.0,verkerk groep
Verloning.nl B.V.,51683245.0,verloningnl
Vermaat Servicekantoor B.V.,30131700.0,vermaat servicekantoor
Vermeer International B.V.,22022618.0,vermeer international
Vermeer Manufacturing International Goes B.V.,71935347.0,vermeer manufacturing international goes
Vermilion Energy Netherlands B.V.,34201179.0,vermilion energy
Verra Mobility B.V,74026240.0,verra mobility
Versatec Energy B.V.,30125398.0,versatec energy
Versum Materials Netherlands B.V.,65849620.0,versum materials
Versuni Netherlands B.V.,78095549.0,versuni
Vertico B.V.,82332010.0,vertico
VertiDrive B.V.,24448205.0,vertidrive
Vertigo Studios B.V.,24446448.0,vertigo studios
Vertigo Technologies,68666640.0,vertigo technologies
Verus Pharma B.V.,61325813.0,verus pharma
Verwater Group B.V.,24254446.0,verwater
Verwater Industrial Services Noord Oost B.V.,63957604.0,verwater industrial services noord oost
Vesconite Bearings B.V.,69952795.0,vesconite bearings
Vesper B.V.,72497254.0,vesper
Vesta Terminals B.V.,53728726.0,vesta terminals
Vestas Benelux B.V.,30151792.0,vestas benelux
Veth Propulsion B.V.,23071521.0,veth propulsion
Veylinx B.V.,64818322.0,veylinx
VGI-Willems RVS Machinebouw B.V.,17070337.0,vgiwillems rvs machinebouw
VHI Koudetechniek B.V.,16054913.0,vhi koudetechniek
VHP Security Paper B.V.,8042063.0,vhp security paper
